chpter,tumour type,option,,sctid,,ptsctid,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
19,carcinoma of appendix,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
20,carcinoma of colon or rectum,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
21,carcinoma of anus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
22,carcinoma of liver,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
23,carcinoma of intrahepatic bile duct,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
24,carcinoma of gallbladder,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
25,cancer of perihilar bile duct,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
26,cancer of distal bile duct,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
27,carcinoma of ampulla of vater,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT1c,American Joint Committee on Cancer cT1c (qualifier value),1228899006,cT1c,5063669018,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
28,cancer of execrine pancreas,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
29,neuroendocrine tumour of stomach,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
30,neuroendocrine tumour of duodenum or ampullar of vater,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
30,neuroendocrine tumour of duodenum or ampullar of vater,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
30,neuroendocrine tumour of duodenum or ampullar of vater,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
30,neuroendocrine tumour of duodenum or ampullar of vater,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
30,neuroendocrine tumour of duodenum or ampullar of vater,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
31,neuroendocrine tumour of jejunum or ileum,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
32,neuroendocrine tumour of appendix,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
33,neuroendocrine tumour of colon or rectum,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
34,neuroendocrine tumour of pancreas,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
34,neuroendocrine tumour of pancreas,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
34,neuroendocrine tumour of pancreas,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
34,neuroendocrine tumour of pancreas,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
34,neuroendocrine tumour of pancreas,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
35,cancer of thymus,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT1mi,American Joint Committee on Cancer cT1mi (qualifier value),1228891009,cT1mi,5063632016,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT1c,American Joint Committee on Cancer cT1c (qualifier value),1228899006,cT1c,5063669018,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
36,carcinoma of lung,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
37,malignant pleural mesothelioma,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
38.1,"cancer of appendicular skeleton, trunk, skull or facial bone",cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
38.1,"cancer of appendicular skeleton, trunk, skull or facial bone",cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
38.1,"cancer of appendicular skeleton, trunk, skull or facial bone",cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
38.1,"cancer of appendicular skeleton, trunk, skull or facial bone",cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
38.1,"cancer of appendicular skeleton, trunk, skull or facial bone",cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
38.2,cancer of bone of spine,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT1a,American Joint Committee on Cancer cT1a (qualifier value),1228892002,cT1a,5063636018,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT1b,American Joint Committee on Cancer cT1b (qualifier value),1228895000,cT1b,5063651010,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT2a,American Joint Committee on Cancer cT2a (qualifier value),1228931008,cT2a,5063796012,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT2b,American Joint Committee on Cancer cT2b (qualifier value),1228934000,cT2b,5063810010,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT3a,American Joint Committee on Cancer cT3a (qualifier value),1228939005,cT3a,5063833011,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT3b,American Joint Committee on Cancer cT3b (qualifier value),1228940007,cT3b,5063836015,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
38.3,cancer of bone of pelvis,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
